customer_id,first_name,last_name,email,phone,city
1000,Miranda,Harris,brenda43@example.org,001-650-635-5393x03553,Port Erinmouth
1001,Oscar,Frazier,erikkelly@example.org,(215)777-2088x7966,Jamesberg
1002,Jamie,Powell,whitemelissa@example.org,649-295-5500,Lake Angela
1003,Matthew,Scott,lschmidt@example.com,810-560-1083x9314,Port Melissa
1004,Charles,Fuller,edwardsbeth@example.net,(442)272-5512x42018,Hudsontown
1005,Susan,Reynolds,frankbenjamin@example.com,(265)443-6521x5998,West Sherryland
1006,David,Morales,jennifermatthews@example.com,953.920.3779x66555,New Natalieport
1007,Benjamin,Jones,gregory58@example.org,990-217-9517x22798,Howardland
1008,Willie,Smith,josephashley@example.net,(489)469-2560,Lake Alexismouth
1009,Kevin,Brown,lkim@example.net,+1-749-724-7879x0498,Henryville
1010,Cindy,Gentry,whobbs@example.com,001-647-710-3756x81710,East Michele
1011,Susan,Mata,mary78@example.org,883.883.9794,Chasefurt
1012,Victoria,Johnston,edwardcooper@example.net,001-549-954-6429x56212,Matthewchester
1013,Danielle,Holmes,johnstonjohn@example.org,(787)334-3015x64981,Hernandezton
1014,Susan,Harris,moorepamela@example.org,(391)989-5667,New Wyatt
1015,Dylan,Rose,mendozajoshua@example.com,(205)325-9111,West Patriciahaven
1016,Angela,Brown,brandondavis@example.net,508-911-6625,Fisherberg
1017,Frederick,Garcia,richardsonsean@example.org,+1-558-659-7374x27551,South Michaelville
1018,Matthew,Rivera,tyrone31@example.net,567-261-4079,Lake Lindsey
1019,Arthur,Kerr,annetteroberts@example.net,001-657-445-7179,Wheelershire
1020,David,Conley,zroberts@example.org,001-307-971-7827x963,Victoriamouth
1021,Samantha,Tran,kennethhamilton@example.org,372-355-7963,North Caleb
1022,Andrea,Lopez,johnparker@example.com,458-849-6928x88785,West Beverlyberg
1023,Victoria,Vasquez,emilywhitaker@example.com,741.492.5680,East Ashleeburgh
1024,Chase,Dunn,wesley78@example.net,672.370.3348x40117,Hensonmouth
1025,Katherine,Mendez,knelson@example.net,561.570.4978x3013,West Jon
